seconds_from_gesture_start,frametime_ms
7.052113,8.27687
7.060456,8.34264
7.068962,8.50476
7.07718,8.21702
7.085489,8.30956
7.093811,8.32158
7.102264,8.45189
7.110515,8.25114
7.118986,8.47016
7.127374,8.38755
7.135588,8.21333
7.143922,8.33354
7.152328,8.40586
7.160499,8.17097
7.168827,8.32772
7.177148,8.32123
7.185462,8.31362
7.193861,8.39882
7.202113,8.25138
7.210413,8.30043
7.218782,8.36841
7.227219,8.43596
7.235419,8.2009
7.24375,8.33039
7.252112,8.36193
7.260415,8.30297
7.268757,8.34083
7.277103,8.34668
7.28544,8.33675
7.293768,8.32786
7.302184,8.41458
7.310487,8.30245
7.318835,8.34816
7.327203,8.36791
7.340084,12.8806
7.348461,8.37731
7.356692,8.23023
7.365093,8.40183
7.373416,8.32259
7.381769,8.35254
7.390083,8.3138
7.39845,8.3638
7.406607,8.16025
7.415159,8.55126
7.423388,8.2295
7.431706,8.31776
7.440144,8.4373
7.448295,8.15156
7.456632,8.33712
7.465083,8.45012
7.473456,8.37278
7.481668,8.21206
7.490184,8.5155
7.498453,8.26916
7.506651,8.19863
7.51507,8.41855
7.523459,8.38902
7.531638,8.17866
7.540055,8.41694
7.548485,8.42933
7.556676,8.19143
7.564975,8.29905
7.573446,8.47026
7.581754,8.30799
7.590152,8.39791
7.598337,8.18512
7.606747,8.40956
7.615024,8.27726
7.623365,8.34033
7.631655,8.29027
7.640121,8.46426
7.648385,8.26431
7.656714,8.32932
7.665066,8.35189
7.673406,8.33955
7.681796,8.38883
7.690085,8.28933
7.698468,8.38314
7.706733,8.26474
7.715121,8.38711
7.723452,8.33147
7.731697,8.24483
7.740151,8.45225
7.748444,8.29358
7.75671,8.2654
7.765113,8.40392
7.773387,8.27302
7.781796,8.40827
7.790118,8.32149
7.79846,8.34232
7.8067,8.24069
7.815075,8.37375
7.823481,8.40547
7.831852,8.3714
7.840198,8.34639
7.848423,8.22406
7.856691,8.26877
7.865185,8.4931
7.873471,8.28615
7.881754,8.283
7.890118,8.36354
7.898407,8.28871
7.906649,8.24055
7.915124,8.47618
7.92352,8.39557
7.931762,8.24283
7.940094,8.33162
7.948523,8.42711
7.956753,8.23088
7.965119,8.36576
7.973454,8.33442
7.981859,8.40449
7.990099,8.2398
7.998459,8.35968
8.006786,8.32693
8.015179,8.39185
8.023433,8.25384
8.031893,8.45939
8.040144,8.25092
8.048403,8.25883
8.056776,8.37318
8.065235,8.45847
8.073481,8.24573
8.081748,8.26745
8.090177,8.42866
8.098455,8.27766
8.106765,8.30975
8.11517,8.40349
8.123412,8.24303
8.131772,8.36051
