frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
317,1789864094.877648,7.689,103.637,0.043212,0.021573,181098.087579189
318,1789864094.927789,7.748,103.637,0.043212,0.021573,181098.137719861
319,1789864094.977821,7.739,103.637,0.043212,0.021573,181098.187751642
320,1789864095.027903,7.744,103.637,0.043212,0.021573,181098.237834257
321,1789864095.078110,7.891,103.637,0.043212,0.021573,181098.288040933
322,1789864095.127786,7.510,103.637,0.043212,0.021573,181098.337717437
323,1789864095.178082,7.746,103.637,0.043212,0.021573,181098.388013059
324,1789864095.228230,7.836,103.637,0.043212,0.021573,181098.438160855
325,1789864095.278275,7.790,103.637,0.043212,0.021573,181098.488206202
326,1789864095.328379,7.810,103.637,0.043212,0.021573,181098.538310442
327,1789864095.378433,7.774,103.637,0.043212,0.021573,181098.588363752
328,1789864095.428497,7.760,103.637,0.043212,0.021573,181098.638427592
329,1789864095.478482,7.684,103.637,0.043212,0.021573,181098.688413521
330,1789864095.528564,7.708,103.637,0.043212,0.021573,181098.738494863
331,1789864095.578705,7.757,103.637,0.043212,0.021573,181098.788635926
332,1789864095.628475,7.469,103.637,0.043212,0.021573,181098.838405770
333,1789864095.678881,7.785,103.637,0.043212,0.021573,181098.888812031
334,1789864095.728969,7.815,103.637,0.043212,0.021573,181098.938900471
335,1789864095.778991,7.780,103.637,0.043212,0.021573,181098.988922143
336,1789864095.829042,7.772,103.637,0.043212,0.021573,181099.038972787
337,1789864095.879031,7.704,103.637,0.043212,0.021573,181099.088962119
338,1789864095.929214,7.828,103.637,0.043212,0.021573,181099.139144610
339,1789864095.979217,7.740,103.637,0.043212,0.021573,181099.189147765
340,1789864096.029421,7.865,103.637,0.043212,0.021573,181099.239351625
341,1789864096.079410,7.770,103.637,0.043212,0.021573,181099.289341148
342,1789864096.129469,7.769,103.637,0.043212,0.021573,181099.339400473
343,1789864096.179221,7.461,103.637,0.043212,0.021573,181099.389151539
344,1789864096.229297,7.458,103.637,0.043212,0.021573,181099.439227943
345,1789864096.279513,7.588,103.637,0.043212,0.021573,181099.489443525
346,1789864096.329191,7.183,103.637,0.043212,0.021573,181099.539122195
347,1789864096.379337,7.184,103.637,0.043212,0.021573,181099.589267586
348,1789864096.429541,7.313,103.637,0.043212,0.021573,181099.639472149
349,1789864096.479989,7.700,103.637,0.043212,0.021573,181099.689920038
350,1789864096.529846,7.496,103.637,0.043212,0.021573,181099.739777030
351,1789864096.580033,7.504,103.637,0.043212,0.021573,181099.789964438
352,1789864096.629666,6.986,103.637,0.043212,0.021573,181099.839596775
353,1789864096.680105,7.290,103.637,0.043212,0.021573,181099.890036676
354,1789864096.730160,7.261,103.637,0.043212,0.021573,181099.940090932
355,1789864096.780663,7.569,103.637,0.043212,0.021573,181099.990594224
356,1789864096.830621,7.448,103.637,0.043212,0.021573,181100.040552476
357,1789864096.880691,7.376,103.637,0.043212,0.021573,181100.090621861
358,1789864096.930547,7.172,103.637,0.043212,0.021573,181100.140478092
359,1789864096.980716,7.280,103.637,0.043212,0.021573,181100.190646496
